120300, MILNUTRI , MILNUTRI, NOT FOUND, LATA 400 G x 1, DN_
120302, MILNUTRI , MILNUTRI, NOT FOUND, LATA 800 G x 1, DN_
53210, MILUPA , MILUPA, NOT FOUND, PO 1 400 G x 1, DN_
125863, MILUPA , MILUPA, NOT FOUND, PO 1 800 G x 1, DN_
75269, MILUPA , MILUPA, NOT FOUND, PO 1 900 G x 1, DN_
53211, MILUPA , MILUPA, NOT FOUND, PO 2 400 G x 1, DN_
125865, MILUPA , MILUPA, NOT FOUND, PO 2 800 G x 1, DN_
75270, MILUPA , MILUPA, NOT FOUND, PO 2 900 G x 1, DN_
