2420; CLAUDEMOR ; CLAUDEMOR; NOT FOUND; POM. 20 G x 1; DCS
51802; CLOZAL ; CLOZAL; NOT FOUND; CPR 1 MG x 20; DCS
51803; CLOZAL ; CLOZAL; NOT FOUND; CPR 2 MG x 20; DCS
