SCHINUS TEREBINTHIFOLIA RADDI, SCHINUS TEREBINTHIFOLIA RADDI
SCILLA MARÍTIMA  , SCILLA MARITIMA
SCROPHULARIA NODOSA , SCROPHULARIA NODOSA
SCUTELLARIA LATERIFLORA , SCUTELLARIA LATERIFLORA
