5436, HIRUDOID , HIRUDOID, NOT FOUND, GEL. 3 MG 40 G x 1 (/G), DCS
97109, HIRUDOID , HIRUDOID, NOT FOUND, GEL. 5 MG 20 G x 1 (/G), DCS
48466, HIRUDOID , HIRUDOID, NOT FOUND, GEL. 5 MG 40 G x 1 (/G), DCS
5441, HIRUDOID , HIRUDOID, NOT FOUND, POM. 3 MG 40 G x 1 (/G), DCS
47462, HIRUDOID , HIRUDOID, NOT FOUND, POM. 5 MG 40 G x 1 (/G), DCS
