537613070001104; AZICERIO; AZICERIO; NOT FOUND; 10 MG/G + 4.00 MG/G CREM DERM PT PLAS X 100 G&NBSP;01; VC_
537613070001004; AZICERIO; AZICERIO; NOT FOUND; 10 MG/G + 4.00 MG/G CREM DERM PT PLAS  X 150G; VC_
537613070001204; AZICERIO; AZICERIO; NOT FOUND; 10 MG/G + 4.00 MG/G CREM DERM PT  PLAS X 400G ; VC_
537613070000904; AZICERIO; AZICERIO; NOT FOUND; 10 MG/G + 4.00 MG/G CREM DERM CT BG PLAS X 50G ; VC_
537613070001304; AZICERIO; AZICERIO; NOT FOUND; 10 MG/G + 4.00 MG/G CREM DERM PT PLAS X 500G ; VC_
537613070000804; AZIPRATA; AZIPRATA; NOT FOUND; 10.00 MG/G CR DERM PT PLAS X 400 G ; VC_
537613070000704; AZIPRATA; AZIPRATA; NOT FOUND; 10.00 MG/G CR DERM BG PLAS X 50G ; VC_
