525412030043304; JALRA MET; JALRA MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 14; M_S
525412030043404; JALRA MET; JALRA MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 56; M_S
525412030042904; JALRA MET; JALRA MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 14; M_S
525412030043004; JALRA MET; JALRA MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 56; M_S
525412030043104; JALRA MET; JALRA MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 14; M_S
525412030043204; JALRA MET; JALRA MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 56; M_S
525421401114417; JALRA; JALRA; NOT FOUND; 50 MG COM CT BL AL/AL X 14; M_S
525421402110415; JALRA; JALRA; NOT FOUND; 50 MG COM CT BL AL/AL X 28; M_S
525421403117413; JALRA; JALRA; NOT FOUND; 50 MG COM CT BL AL/AL X 56; M_S
