121340; AFFINATO ; AFFINATO; NOT FOUND; CAPS O COCO x 60; S_G
110402; AFFINATO ; AFFINATO; NOT FOUND; CAPS x 30; S_G
121339; AFFINATO ; AFFINATO; NOT FOUND; LIQ O COCO 190 ML x 1; S_G
