57511; DUNASON ; DUNASON; NOT FOUND; GOTAS OFTAL 15 ML x 1; ALC
72462; DUO-TRAVATAN ; DUO TRAVATAN; NOT FOUND; SOLN OFTAL 2.50 ML x 1; ALC
85556; DUO-TRAVATAN B FRE ; DUO TRAVATAN B FRE; NOT FOUND; SOL OFTAL 2.50 ML x 1; ALC
99988; DUO-TRAVATAN B FRE ; DUO TRAVATAN B FRE; NOT FOUND; SOL OFTAL 5 ML x 1; ALC
