522822606111417; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 10; L3B
522822605115419; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 14; L3B
522822604119410; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CX 5 BL AL PLAS AMB X 10; L3B
522822607118415; BESFLOX; BESFLOX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 6; L3B
