54786; PROGRAF ; PROGRAF; NOT FOUND; CAPS 1 MG x 100; AES
54787; PROGRAF ; PROGRAF; NOT FOUND; CAPS 5 MG x 50; AES
75488; PROGRAF XL ; PROGRAF XL; NOT FOUND; CAPS L.P. 1 MG x 50; AES
75489; PROGRAF XL ; PROGRAF XL; NOT FOUND; CAPS L.P. 5 MG x 50; AES
68099; PROTOPIC ; PROTOPIC; NOT FOUND; POM. 0.03 % 10 G x 1; AES
68011; PROTOPIC ; PROTOPIC; NOT FOUND; POM. 0.10 % 10 G x 1; AES
140252; PROTOPIC ; PROTOPIC; NOT FOUND; POM. 0.10 % 30 G x 1; AES
