117703; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS 1000 MG x 120; PMR
117687; OLEO DE CARTAMO ; OLEO CARTAMO; NOT FOUND; CAPS 1000 MG x 60; PMR
117661; OLEO DE LINHACA ; OLEO LINHACA; NOT FOUND; CAPS 500 MG x 60; PMR
141013; OLEO FIGADO BACALH ; OLEO FIGADO BACALH; OLEO FIGADO BACALHAU; CAPS 250 MG x 60; PMR
117675; OMEGA 3 ; OMEGA 3; NOT FOUND; CAPS 1000 MG x 60; PMR
117618; OMEGA 3 ; OMEGA 3; NOT FOUND; CAPS 500 MG x 60; PMR
