1427700320019; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ML SOL INJ CX FA VD INC X 20 ML; CL9
1427700320035; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ML SOL INJ CX 01 AMP VD INC X 4 ML; CL9
1427700320043; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ ML SOL INJ CX 10 AMP VD INC X 4 ML; CL9
1427700320051; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ ML SOL INJ CX 50 AMP VD INC X 4 ML; CL9
1427700320027; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ ML SOL INJ CX 5 AMP VD INC X 4 ML; CL9
