47525; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 100 (CONC); HEN
47524; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 20 (CONC); HEN
77196; COMPLEXO B+C ; COMPLEXO B C; NOT FOUND; DRAG x 30; HEN
