59933; AMIOBAL ; AMIOBAL; NOT FOUND; CPR 100 MG x 30; BAL
59934; AMIOBAL ; AMIOBAL; NOT FOUND; CPR 200 MG x 30; BAL
59151; ANLODIBAL ; ANLODIBAL; NOT FOUND; CPR 10 MG x 30; BAL
59150; ANLODIBAL ; ANLODIBAL; NOT FOUND; CPR 5 MG x 30; BAL
60764; ATENOBAL ; ATENOBAL; NOT FOUND; CPR 100 MG x 30; BAL
60763; ATENOBAL ; ATENOBAL; NOT FOUND; CPR 25 MG x 30; BAL
60762; ATENOBAL ; ATENOBAL; NOT FOUND; CPR 50 MG x 30; BAL
