64195; ZIPROL ; ZIPROL; NOT FOUND; CPR REVEST 20 MG x 14; BAL
78974; ZIPROL ; ZIPROL; NOT FOUND; CPR REVEST 20 MG x 28; BAL
64194; ZIPROL ; ZIPROL; NOT FOUND; CPR REVEST 40 MG x 14; BAL
78973; ZIPROL ; ZIPROL; NOT FOUND; CPR REVEST 40 MG x 28; BAL
