540412070004004, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 16 (SABOR LARANJA), NAU
540412070004304, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 16 (SABOR MENTA) , NAU
540412070004504, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 16 (SABOR CEREJA), NAU
540412070004104, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 160 (SABOR LARANJA) (EMB MULT), NAU
540412070004704, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 160 (SABOR CEREJA) (EMB MULT), NAU
540412070004804, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 160 (SABOR MENTA) (EMB MULT), NAU
540412070004204, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT FR PLAS X 56 (SABOR LARANJA), NAU
540412070004404, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT FR PLAS X 56(SABOR MENTA), NAU
540412070004604, KOLLANGEL TABS, KOLLANGEL TABS, NOT FOUND, (159.9 + 208.9 + 231.5) MG COM MAST CT FR PLAS X 56 (SABOR CEREJA), NAU
