534100502152419; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ML SOL INJ CX 01 AMP VD INC X 4 ML; CL9
534100501156410; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ML SOL INJ CX FA VD INC X 20 ML; CL9
534112080008204; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ ML SOL INJ CX 10 AMP VD INC X 4 ML; CL9
534112080008304; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ ML SOL INJ CX 50 AMP VD INC X 4 ML; CL9
534112080008404; BUPICAN HEAVY; BUPICAN HEAVY; NOT FOUND; 5 MG/ ML SOL INJ CX 5 AMP VD INC X 4 ML; CL9
