47417; OCUFEN ; OCUFEN; NOT FOUND; SOLN OFTAL 0.03 % 5 ML x 1; ALL
49246; OFLOX ; OFLOX; NOT FOUND; SOLN OFTAL 0.30 % 5 ML x 1; ALL
112487; OPTIVE ; OPTIVE; NOT FOUND; K S 15ML+3ML 18 ML x 1; ALL
73377; OPTIVE ; OPTIVE; NOT FOUND; SOLN OFTAL 10 ML x 1; ALL
73378; OPTIVE ; OPTIVE; NOT FOUND; SOLN OFTAL 15 ML x 1; ALL
77560; OPTIVE UD ; OPTIVE UD; NOT FOUND; FLAC.OFTAL 0.40 ML x 30; ALL
