521400501151417, MENOGON, MENOGON, NOT FOUND, 75 UI PO LIOF INJ CT 5 AMP VD INC + 5 AMP VD INC DIL X 1 ML, FER
521400601154418, MENOPUR, MENOPUR, NOT FOUND, 75 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL VD INC X 1 ML, FER
521400602150416, MENOPUR, MENOPUR, NOT FOUND, 75UI PO LIOF INJ CT FA VD INC+AMP DILX1ML, FER
