1291600250026; DIFFERIN; DIFFERIN; NOT FOUND; 1.0 MG/G CREM DERM CT BG AL X 30 G (PORT 344/98 LISTA C2); GLD
1291600250018; DIFFERIN; DIFFERIN; NOT FOUND; 1 MG/G GEL CT BL PLAST LAM X 30 G; GLD
1291600250085; DIFFERIN; DIFFERIN; NOT FOUND; 3 MG/G GEL DERM CT BG PLAS LAM X 4 G (PORT 344/98 LISTA C2); GLD
1291600250077; DIFFERIN; DIFFERIN; NOT FOUND; 3 MG/G GEL DERM CT BG PLAS LAM X 30 G (PORT 344/98 LISTA C2); GLD
1291600250050; DIFFERIN; DIFFERIN; NOT FOUND; 3 MG/G GEL CT BG PLAS LAM X 45 G; GLD
1291600310037; DESOWEN; DESOWEN; NOT FOUND; CREME - BISNAGA C/ 30 GR; GLD
1291600310029; DESOWEN; DESOWEN; NOT FOUND; LOCAO - BISNAGA C/ 60 GR; GLD
