1291600300023; SILKIS; SILKIS; NOT FOUND; 3 MCG/G POM DERM CT BG AL X 30 G; GLD
1291600020081; STERONIDE; STERONIDE; NOT FOUND; FRASCO C/ 30 ML 0.1% LOCAO CAPIL; GLD
1291600020071; STERONIDE; STERONIDE; NOT FOUND; BISNAGA C/ 15 GR 0.1% CREME; GLD
