161198, SINUDORON , SINUDORON, NOT FOUND, CPR x 80, WED
105212, SINUDORON , SINUDORON, NOT FOUND, GLOBULOS 20 G x 1, WED
112523, SINUDORON , SINUDORON, NOT FOUND, SOL ORAL 50 ML x 1, WED
161199, STRESSDORON , STRESSDORON, NOT FOUND, CPR x 220, WED
77225, STRESSDORON , STRESSDORON, NOT FOUND, CPR x 80, WED
