77794, FLAVO-C , FLAVO C, NOT FOUND, CREME. 30 ML x 1, D7B
77793, FLAVO-C , FLAVO C, NOT FOUND, SERUM. 15 ML x 1, D7B
77795, FLAVO-C , FLAVO C, NOT FOUND, SERUM. 3 ML x 2, D7B
