89001; JALRA ; JALRA; NOT FOUND; CPR 50 MG x 14; M_S
89004; JALRA ; JALRA; NOT FOUND; CPR 50 MG x 28; M_S
89007; JALRA ; JALRA; NOT FOUND; CPR 50 MG x 56; M_S
90860; JALRA MET ; JALRA MET; NOT FOUND; CPR REVEST 1000 MG x 14 (/50); M_S
90857; JALRA MET ; JALRA MET; NOT FOUND; CPR REVEST 1000 MG x 56 (/50); M_S
90852; JALRA MET ; JALRA MET; NOT FOUND; CPR REVEST 50 MG x 14 (/500); M_S
90854; JALRA MET ; JALRA MET; NOT FOUND; CPR REVEST 50 MG x 14 (/850); M_S
90849; JALRA MET ; JALRA MET; NOT FOUND; CPR REVEST 50 MG x 56 (/500); M_S
90853; JALRA MET ; JALRA MET; NOT FOUND; CPR REVEST 50 MG x 56 (/850); M_S
