145947; DERSANI ; DERSANI; NOT FOUND; GEL HIDROGEL 30 G x 1; DDT
162429; DERSANI ; DERSANI; NOT FOUND; KIT L3P2 600 ML x 1; DDT
65466; DERSANI ; DERSANI; NOT FOUND; LIQD 100 ML x 1; DDT
70529; DERSANI ; DERSANI; NOT FOUND; LIQD 20 ML x 24; DDT
53656; DERSANI ; DERSANI; NOT FOUND; LIQD 200 ML x 1; DDT
66351; DERSANI ; DERSANI; NOT FOUND; LIQD 500 ML x 1; DDT
65467; DERSANI ; DERSANI; NOT FOUND; LIQD BABY 50 ML x 1; DDT
98660; DERSANI HIDGEL ALG ; DERSANI HIDGEL ALG; NOT FOUND; GEL 85 G x 1; DDT
70337; DROXAINE ; DROXAINE; NOT FOUND; LIQD 120 ML x 1; DDT
3644; DROXAINE ; DROXAINE; NOT FOUND; LIQD 240 ML x 1; DDT
