79264, LINOLEN , LINOLEN, NOT FOUND, CAPS 1 G x 120, NNA
79265, LINOLEN , LINOLEN, NOT FOUND, CAPS 1 G x 180, NNA
79266, LINOLEN , LINOLEN, NOT FOUND, CAPS 1 G x 240, NNA
79267, LINOLEN , LINOLEN, NOT FOUND, CAPS F PA 1 G x 45, NNA
