99508; DAIVOBET ; DAIVOBET; NOT FOUND; GEL 30 G x 1; LO2
99509; DAIVOBET ; DAIVOBET; NOT FOUND; GEL 60 G x 1; LO2
69016; DAIVOBET ; DAIVOBET; NOT FOUND; POM. 30 G x 1; LO2
100153; DAIVOBET ; DAIVOBET; NOT FOUND; POM. 60 G x 1; LO2
48884; DAIVONEX ; DAIVONEX; NOT FOUND; POM. 50 Y 30 G x 1 (/G); LO2
