48329; BENZAC AC ; BENZAC AC; NOT FOUND; GEL. 10 % 60 G x 1; GLD
48327; BENZAC AC ; BENZAC AC; NOT FOUND; GEL. 2.50 % 60 G x 1; GLD
48328; BENZAC AC ; BENZAC AC; NOT FOUND; GEL. 5 % 60 G x 1; GLD
50142; BENZAGEL ; BENZAGEL; NOT FOUND; GEL. 10 % 60 G x 1; GLD
