77798; TRIO A SOIN ; TRIO A SOIN; NOT FOUND; L DESP INTE 30 ML x 1; D7B
77799; TRIO D SOIN ; TRIO D SOIN; NOT FOUND; L H P H PIG 30 ML x 1; D7B
77800; TRIO S DOIN ; TRIO S DOIN; NOT FOUND; LOCAO FPS50 50 ML x 1; D7B
