1044401080053; BREXIN; BREXIN; NOT FOUND; CX C/ 10 SACHET'S; GRO
1044401080101; BREXIN; BREXIN; NOT FOUND; CX C/ 5 SUPOSIT.; GRO
1044401080029; BREXIN; BREXIN; NOT FOUND; 191.2 MG COM CT BL PVC/PVDC OPC X 10; GRO
1044401080010; BREXIN; BREXIN; NOT FOUND; 191.2 MG COM CT BL PVC/PVDC OPC X 5; GRO
