73314; BITUFO ; BITUFO; NOT FOUND; G D S/F F TR 100 G x 1; HY_
73315; BITUFO ; BITUFO; NOT FOUND; G D S/F MORA 100 G x 1; HY_
73316; BITUFO ; BITUFO; NOT FOUND; G D S/F PR 100 G x 1; HY_
