528700202163321; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 100 G; PRG
528700205162415; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 135 G; PRG
528700206169421; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 25 G; PRG
528700203161322; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 45 G; PRG
528700204166328; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 90 G; PRG
