1384100520125; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 16 (SABOR LARANJA); NAU
1384100520151; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 160 (SABOR LARANJA) (EMB MULT); NAU
1384100520141; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT FR PLAS X 56 (SABOR LARANJA); NAU
1384100520222; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 16 (SABOR MENTA) ; NAU
1384100520249; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT FR PLAS X 56(SABOR MENTA); NAU
1384100520028; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 16 (SABOR CEREJA); NAU
1384100520044; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT FR PLAS X 56 (SABOR CEREJA); NAU
1384100520052; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 160 (SABOR CEREJA) (EMB MULT); NAU
1384100520257; KOLLANGEL TABS; KOLLANGEL TABS; NOT FOUND; (159.9 + 208.9 + 231.5) MG COM MAST CT BL AL PLAS INC X 160 (SABOR MENTA) (EMB MULT); NAU
