160507; OMEGAFOR ; OMEGAFOR; NOT FOUND; CAPS 1000 MG x 120; VF0
144170; OMEGAFOR ; OMEGAFOR; NOT FOUND; CAPS 1000 MG x 60; VF0
133422; OMEGAFOR PLUS ; OMEGAFOR PLUS; NOT FOUND; CAPS 1000 MG x 120; VF0
139601; OMEGAFOR PLUS ; OMEGAFOR PLUS; NOT FOUND; CAPS 1000 MG x 60; VF0
