59707, COZAAR , COZAAR, NOT FOUND, CPR 100 MG x 30, SP0
54987, COZAAR , COZAAR, NOT FOUND, CPR 12.5 MG x 21, SP0
63791, COZAAR , COZAAR, NOT FOUND, CPR 50 MG x 15, SP0
63672, COZAAR , COZAAR, NOT FOUND, CPR 50 MG x 30, SP0
