140663, LAXSAN , LAXSAN, NOT FOUND, OLEO RICINO 30 ML x 1, MF4
135463, LEITE DE MAGNESIA , LEITE MAGNESIA, NOT FOUND, LIQ HORTELA 120 ML x 1, MF4
137516, LEITE DE MAGNESIA , LEITE MAGNESIA, NOT FOUND, LIQ NATURAL 120 ML x 1, MF4
137790, LIPTILL , LIPTILL, NOT FOUND, CAPS 500 MG x 45, MF4
