52875; EMPLASTRO SABIA ; EMPLASTRO SABIA; NOT FOUND; PA.MINI 24 x 6; J_J
52873; EMPLASTRO SABIA ; EMPLASTRO SABIA; NOT FOUND; PARCHE x 60; J_J
75783; ENYDRIAL ; ENYDRIAL; NOT FOUND; CR HID EX/SE 40 ML x 1; J_J
58717; ENYDRIAL ; ENYDRIAL; NOT FOUND; CREME HIDRAT 40 ML x 1; J_J
75782; ENYDRIAL ; ENYDRIAL; NOT FOUND; HIDRAT EX/SE 200 ML x 1; J_J
57989; ENYDRIAL ; ENYDRIAL; NOT FOUND; LOC. 200 ML x 1; J_J
