55544; MURIEL ; MURIEL; NOT FOUND; CRE.P/M.RUGA 25 G x 1; MUI
55542; MURIEL ; MURIEL; NOT FOUND; KIT GEL+CR. 25 G x 1; MUI
55543; MURIEL ; MURIEL; NOT FOUND; LOC.P/MANCHA 80 ML x 1; MUI
73078; MURIEL BABY ; MURIEL BABY; NOT FOUND; CR AS MENINO 60 G x 1; MUI
