46861; VITASAY ; VITASAY; NOT FOUND; DRAG x 40; DNF
95567; VITASAY FERRO ; VITASAY FERRO; NOT FOUND; CPR REVEST x 30; DNF
53009; VITASAY STRESS ; VITASAY STRESS; NOT FOUND; CPR REVEST x 30; DNF
