31780; ALGIDENTE ; ALGIDENTE; NOT FOUND; SOLN 3 ML x 1; SED
28276; AMIGDAMICIN ; AMIGDAMICIN; NOT FOUND; DISCOS x 12; SED
54629; AMIGDAMICIN ; AMIGDAMICIN; NOT FOUND; SPRAY 50 ML x 1; SED
