540300401168315, PROTOPIC, PROTOPIC, NOT FOUND, 0.3 MG/G POM DER CT BG PLAS LAM X 10 G, AES
540300402164313, PROTOPIC, PROTOPIC, NOT FOUND, 0.3 MG/G POM DER CT BG PLAS LAM X 30 G, AES
540300403160311, PROTOPIC, PROTOPIC, NOT FOUND, 1.0 MG/G POM DER CT BG PLAS LAM X 10 G, AES
540300404167311, PROTOPIC, PROTOPIC, NOT FOUND, 1.0 MG/G POM DER CT BG PLAS LAM X 30 G, AES
