112501; YUMMI BEARS ; YUMMI BEARS; NOT FOUND; GOMA CA V D3 x 90; HN7
112502; YUMMI BEARS ; YUMMI BEARS; NOT FOUND; GOMA FRU VEG x 45; HN7
112503; YUMMI BEARS ; YUMMI BEARS; NOT FOUND; GOMA MUL/MIN x 45; HN7
112504; YUMMI BEARS ; YUMMI BEARS; NOT FOUND; GOMA VIT C x 60; HN7
89954; YUMMI BEARS ; YUMMI BEARS; NOT FOUND; GOMA. x 90; HN7
112505; YUMMI BEARS ; YUMMI BEARS; NOT FOUND; GOMAS FIBRAS x 60; HN7
89974; YUMMI BEARS ORGANI ; YUMMI BEARS ORGANI; NOT FOUND; GOMA. x 90; HN7
