48868; VERUTEX ; VERUTEX; NOT FOUND; CREME 2 % 10 G x 1; LO2
54081; VERUTEX ; VERUTEX; NOT FOUND; CREME 2 % 15 G x 1; LO2
62191; VERUTEX B ; VERUTEX B; NOT FOUND; CREME 15 G x 1; LO2
69059; VERUTEX B ; VERUTEX B; NOT FOUND; CREME 5 G x 1; LO2
