120005, OLEO CARTAMO+COCO , OLEO CARTAMO COCO, NOT FOUND, CAPS x 60, A_U
120000, OLEO DE PEIXE OM3 , OLEO PEIXE OM3, NOT FOUND, CAPS 1000 MG x 60, A_U
120004, OLEO LINHA OM3 6 9 , OLEO LINHA OM3 6 9, NOT FOUND, CAPS x 60, A_U
