122086; ECOPAT ; ECOPAT; NOT FOUND; LIQD 50 ML x 1; LQN
154149; ELIXIR COLEGORICO ; ELIXIR COLEGORICO; NOT FOUND; GOTAS 30 ML x 1; LQN
154148; ELIXIR COLEGORICO ; ELIXIR COLEGORICO; NOT FOUND; GOTAS 30 ML x 12; LQN
