77107, PERICOR , PERICOR, NOT FOUND, CPR 4 MG x 10, TNT
77108, PERICOR , PERICOR, NOT FOUND, CPR 4 MG x 30, TNT
87348, PIOGLIT , PIOGLIT, NOT FOUND, CPR 15 MG x 30, TNT
87350, PIOGLIT , PIOGLIT, NOT FOUND, CPR 30 MG x 30, TNT
87351, PIOGLIT , PIOGLIT, NOT FOUND, CPR 45 MG x 30, TNT
