95862, SAPHRIS , SAPHRIS, NOT FOUND, CPR SL 10 MG x 20, LUN
95865, SAPHRIS , SAPHRIS, NOT FOUND, CPR SL 10 MG x 60, LUN
91057, SAPHRIS , SAPHRIS, NOT FOUND, CPR SL 5 MG x 20, LUN
91060, SAPHRIS , SAPHRIS, NOT FOUND, CPR SL 5 MG x 60, LUN
