67875; PKU 1 ; PKU 1; NOT FOUND; LATA 500 G x 1; DN0
67877; PKU 2 ; PKU 2; NOT FOUND; LATA 500 G x 1; DN0
115828; PKU 2 PRIMA ; PKU 2 PRIMA; NOT FOUND; LATA 500 G x 1; DN0
67878; PKU 3 ; PKU 3; NOT FOUND; LATA 500 G x 1; DN0
61708; PLURIMINERAL ; PLURIMINERAL; NOT FOUND; SACHETS 10 G x 40; DN0
59670; PLURIVITAMIN ; PLURIVITAMIN; NOT FOUND; SACHETS 10 G x 40; DN0
