528700506111410, PEPTO BISMOL, PEPTO BISMOL, NOT FOUND, 262.4 MG COM MAST CT STR X 100 (SBR ANIS), PRG
528700510119315, PEPTO BISMOL, PEPTO BISMOL, NOT FOUND, 262.4 MG COM MAST CT STR X 100 (SBR CEREJA), PRG
528700507118419, PEPTO BISMOL, PEPTO BISMOL, NOT FOUND, 262.4 MG COM MAST CT STR X 24 (SBR CEREJA), PRG
528700508114417, PEPTO BISMOL, PEPTO BISMOL, NOT FOUND, 262.4 MG COM MAST CT STR X 48 (SBR CEREJA), PRG
528700509110415, PEPTO BISMOL, PEPTO BISMOL, NOT FOUND, 262.4 MG COM MAST CT STR X 50 (SBR ANIS), PRG
