528714120004003; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 35 G; PRG
528714120004103; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 50 G; PRG
528714120004203; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 70 G; PRG
528714120004303; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 105 G; PRG
528714120004403; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 250 G; PRG
528700202163321; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 100 G; PRG
528700205162415; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 135 G; PRG
528700206169421; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 25 G; PRG
528700203161322; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 45 G; PRG
528700204166328; HIPOGLÓS; HIPOGLOS; NOT FOUND; POM DERM CT TB PLAS X 90 G; PRG
