1009302200011; ZETIA; ZETIA; NOT FOUND; 10 MG X 10 COMP; MQF
1009302200028; ZETIA; ZETIA; NOT FOUND; 10 MG X 20 COMP; MQF
1009302200036; ZETIA; ZETIA; NOT FOUND; 10 MG X 30 COMP; MQF
1009302350186; ZETSIM; ZETSIM; NOT FOUND; 10MG + 10MG COM CT BL X 14; MQF
1009302350194; ZETSIM; ZETSIM; NOT FOUND; 10MG + 10MG COM CT BL X 28; MQF
1009302350062; ZETSIM; ZETSIM; NOT FOUND; 10MG + 20MG COM CT BL X 14; MQF
1009302350070; ZETSIM; ZETSIM; NOT FOUND; 10MG + 20MG COM CT BL X 28; MQF
1009302350100; ZETSIM; ZETSIM; NOT FOUND; 10MG + 40MG COM CT BL X 14; MQF
1009302350143; ZETSIM; ZETSIM; NOT FOUND; 10MG + 80MG COM CT BL X 14; MQF
1009302350119; ZETSIM; ZETSIM; NOT FOUND; 10MG + 40MG COM CT BL PVC BRANCO ACLAR X 28; MQF
