46858, PROZAC 20 , PROZAC 20, NOT FOUND, CAPS 20 MG x 14, LLY
46859, PROZAC 20 , PROZAC 20, NOT FOUND, CAPS 20 MG x 28, LLY
150787, PROZAC 20 , PROZAC 20, NOT FOUND, CAPS 20 MG x 30, LLY
48652, PROZAC 20 , PROZAC 20, NOT FOUND, CAPS 20 MG x 7, LLY
51714, PROZAC 20 , PROZAC 20, NOT FOUND, CPR SOLUVEL 20 MG x 28, LLY
58781, PROZAC DURAPAC , PROZAC DURAPAC, NOT FOUND, CAPS 90 MG x 4, LLY
