135423; TALCO MENTOLADO ; TALCO MENTOLADO; NOT FOUND; PO 40 G x 1; RQQ
160115; TINTURA BENJOIM ; TINTURA BENJOIM; NOT FOUND; LIQ 20 % 1000 ML x 1; RQQ
142106; TINTURA BENJOIM ; TINTURA BENJOIM; NOT FOUND; LIQUIDO 20 % 100 ML x 1; RQQ
132037; TINTURA DE IODO ; TINTURA IODO; NOT FOUND; LIQD 2 % 1000 ML x 1; RQQ
91936; TINTURA DE IODO ; TINTURA IODO; NOT FOUND; LIQD 2 % 30 ML x 1; RQQ
