521002304117411, ZIPROL, ZIPROL, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 14, BAL
521002306111410, ZIPROL, ZIPROL, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 28, BAL
521002307116416, ZIPROL, ZIPROL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 28, BAL
521002305113411, ZIPROL, ZIPROL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 14 , BAL
