9556526000332; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL CX  FR 500 ML - LCI; SAO
8123133323232; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL CX  FR 250 ML - LCI; SAO
1013900190032; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 20 FR 500 ML; SAO
1013900090016; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 40 FR 250 ML; SAO
1013900190016; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 80 FR 125 ML; SAO
1013900090032; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9%SOL INJ CX12FR 1000 ML; SAO
