526136402114415; QUETIEL; QUETIEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; GM2
526136403110413; QUETIEL; QUETIEL; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; GM2
526136401118417; QUETIEL; QUETIEL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14; GM2
