506002501156418, PENRETARD, PENRETARD, NOT FOUND, 1.200.000 UI INJ CX 1 FR AMP, CFL
506002502152416, PENRETARD, PENRETARD, NOT FOUND, 1.200.000 UI INJ CX 50 FR AMP, CFL
506002504155412, PENRETARD, PENRETARD, NOT FOUND, 600.000 UI INJ CX 50 FR AMP, CFL
