1235202250017; TEZARA MR; TEZARA MR; NOT FOUND; 30MG COM LIB PROL BL AL PLAS TRANS X 15 ; RBY
1235202250025; TEZARA MR; TEZARA MR; NOT FOUND; 30MG COM LIB PROL BL AL PLAS TRANS X 30; RBY
1235202250033; TEZARA MR; TEZARA MR; NOT FOUND; 30MG COM LIB PROL BL AL PLAS TRANS X 60; RBY
