134695; OLEO DE COCO ; OLEO COCO; OLEO COCO; CAPS EXT VIR 1000 MG x 60; VTM
123331; OLEO DE LINHACA ; OLEO LINHACA; NOT FOUND; CPR 1 G x 60; VTM
160509; OMEGA 3 GOLDCAPS ; OMEGA 3 GOLDCAPS; NOT FOUND; CAPS 1000 MG x 30; VTM
118917; OMEGA-3 ; OMEGA 3; NOT FOUND; CAPS 1000 MG x 120; VTM
55898; OMEGA-3 ; OMEGA 3; NOT FOUND; CAPS 1000 MG x 30; VTM
156561; OMEGA-3 ; OMEGA 3; NOT FOUND; CAPS 1000 MG x 60; VTM
55899; OMEGA-3 ; OMEGA 3; NOT FOUND; CAPS x 100; VTM
