28112; ILOSONE ; ILOSONE; NOT FOUND; DRAG 500 MG x 10; VLT
5554; ILOSONE ; ILOSONE; NOT FOUND; DRAG 500 MG x 48; VLT
28308; ILOSONE ; ILOSONE; NOT FOUND; GOTAS 100 MG 15 ML x 1 (/ML); VLT
28113; ILOSONE ; ILOSONE; NOT FOUND; SUSP 125 MG 100 ML x 1 (/ML); VLT
47706; ILOSONE ; ILOSONE; NOT FOUND; SUSP 250 MG 100 ML x 1 (/5ML); VLT
84367; ILOSONE ANT.ACNE ; ILOSONE ANT ACNE; NOT FOUND; GEL . 20 MG 60 MG x 1 (/G); VLT
47188; ILOSONE ANT.ACNE ; ILOSONE ANT ACNE; NOT FOUND; SOLN TOP. 20 MG 120 ML x 1 (/ML); VLT
81188; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 20 MG x 30; VLT
