543514060000304; OLTANA H; OLTANA H; NOT FOUND; 20 MG + 12.5 MG COM REV CT BL/AL AL/AL X 15; MMF
543514060000404; OLTANA H; OLTANA H; NOT FOUND; 20 MG + 12.5 MG COM REV CT BL/AL AL/AL X 30 ; MMF
543514060000504; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL/AL AL/AL X 15; MMF
543514060000604; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL/AL AL/AL X 30; MMF
543514060000704; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 25 MG COM REV CT BL/AL AL/AL X 15; MMF
543514060000804; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 25 MG COM REV CT BL/AL AL/AL X 30 ; MMF
