1127800500011; TRIVASTAL; TRIVASTAL; NOT FOUND; 16 DRAGEAS; SVR
1127800500028; TRIVASTAL; TRIVASTAL; NOT FOUND; 32 DRAGEAS; SVR
1127800500052; TRIVASTAL RETARD; TRIVASTAL RETARD; NOT FOUND; 50 MG DRG AP CT BL AL PLAS INC X 15; SVR
1127800500036; TRIVASTAL RETARD; TRIVASTAL RETARD; NOT FOUND; 16 DRAGEAS; SVR
1127800500044; TRIVASTAL RETARD; TRIVASTAL RETARD; NOT FOUND; 50  MG DRG AP CT BL AL PLAS INC X 30; SVR
