52020, KELTRINA , KELTRINA, NOT FOUND, LIQD 1 % 60 ML x 1, MB9
69034, KELTRINA , KELTRINA, NOT FOUND, LOC. 1 % 60 ML x 128, MB9
69033, KELTRINA , KELTRINA, NOT FOUND, LOC. PLUS 5 % 60 ML x 1, MB9
