54041; PASSIFLORINE ; PASSIFLORINE; NOT FOUND; DRAG x 20; MLL
8107; PASSIFLORINE ; PASSIFLORINE; NOT FOUND; DRAG x 40; MLL
8108; PASSIFLORINE ; PASSIFLORINE; NOT FOUND; SOLN 100 ML x 1; MLL
31209; PASSIFURIL ; PASSIFURIL; NOT FOUND; CAPS x 12; MLL
31210; PASSIFURIL ; PASSIFURIL; NOT FOUND; SUSP 40 ML x 1; MLL
